Year,Event Count
1984,218
1985,197
1986,186
1987,228
1988,238
1989,248
1990,202
1991,212
1992,212
1993,223
1994,203
1995,194
1996,180
1997,206
1998,225
1999,218
2000,219
2001,231
2002,250
2003,209
2004,231
2005,232
2006,237
2007,207
2008,243
2009,205
2010,199
2011,219
2012,212
2013,227
2015,196
2016,223
2017,196
2018,223
2019,214
2020,222
2021,214
2022,202
2023,205
2024,196
2025,189
2026,203
2027,204
2028,212
2029,176
2030,231
2031,198
2032,210
2033,187
2034,204
2035,201
2036,197
2037,178
2038,165
2039,216
2040,238
2041,201
2042,200
2043,199
2044,178
2045,185
2046,213
2047,238
2048,198
2049,221
2050,229
2051,216
2052,214
2053,201
2054,215
2055,191
2056,219
2057,241
2058,209
2059,209
2060,212
2061,210
2062,232
2063,213
2064,216
2065,235
2066,231
2067,241
2068,215
2069,240
2070,211
2071,264
2072,227
2073,223
2074,256
2075,213
2076,258
2077,280
2078,272
2079,236
2080,232
2081,234
2082,280
2083,278
2084,285
2085,258
2086,256
2087,251
2088,290
2089,259
2090,243
2091,287
2092,290
2093,313
2094,306
2095,299
2096,323
2097,265
2098,328
