Year,Event Count
2015,314
2016,335
2017,327
2018,345
2019,340
2020,333
2021,330
2022,320
2023,343
2024,308
2025,286
2026,338
2027,321
2028,333
2029,272
2030,365
2031,306
2032,340
2033,276
2034,320
2035,333
2036,300
2037,263
2038,267
2039,315
2040,362
2041,279
2042,287
2043,334
2044,274
2045,269
2046,324
2047,368
2048,299
2049,353
2050,345
2051,323
2052,340
2053,315
2054,314
2055,297
2056,298
2057,400
2058,333
2059,337
2060,339
2061,343
2062,373
2063,330
2064,326
2065,375
2066,379
2067,389
2068,357
2069,370
2070,326
2071,398
2072,357
2073,366
2074,434
2075,388
2076,413
2077,440
2078,419
2079,394
2080,363
2081,390
2082,427
2083,456
2084,466
2085,452
2086,420
2087,409
2088,455
2089,422
2090,424
2091,444
2092,512
2093,584
2094,528
2095,495
2096,534
2097,445
2098,566
2099,4
