Year,Event Count
1984,221
1985,199
1986,155
1987,156
1988,180
1989,186
1990,213
1991,211
1992,202
1993,195
1994,211
1995,222
1996,169
1997,186
1998,183
1999,182
2000,162
2001,193
2002,229
2003,181
2004,175
2005,193
2006,198
2007,205
2008,188
2009,194
2010,181
2011,210
2012,197
2013,188
2015,201
2016,251
2017,193
2018,220
2019,181
2020,207
2021,225
2022,202
2023,213
2024,218
2025,166
2026,226
2027,217
2028,191
2029,209
2030,185
2031,222
2032,215
2033,218
2034,201
2035,219
2036,213
2037,229
2038,245
2039,244
2040,249
2041,229
2042,233
2043,243
2044,238
2045,225
2046,235
2047,212
2048,238
2049,211
2050,212
2051,214
2052,232
2053,240
2054,244
2055,218
2056,222
2057,244
2058,202
2059,249
2060,229
2061,250
2062,219
2063,213
2064,235
2065,236
2066,296
2067,241
2068,256
2069,265
2070,279
2071,256
2072,260
2073,275
2074,242
2075,274
2076,219
2077,238
2078,224
2079,232
2080,263
2081,251
2082,276
2083,247
2084,293
2085,252
2086,249
2087,239
2088,252
2089,245
2090,300
2091,282
2092,311
2093,258
2094,272
2095,281
2096,273
2097,288
2098,301
