Year,Event Count
2015,312
2016,406
2017,344
2018,366
2019,275
2020,350
2021,369
2022,310
2023,325
2024,351
2025,265
2026,346
2027,316
2028,304
2029,326
2030,300
2031,324
2032,328
2033,344
2034,307
2035,331
2036,335
2037,355
2038,364
2039,370
2040,343
2041,351
2042,367
2043,389
2044,347
2045,336
2046,372
2047,341
2048,360
2049,328
2050,322
2051,338
2052,378
2053,369
2054,377
2055,341
2056,345
2057,375
2058,335
2059,374
2060,357
2061,389
2062,355
2063,336
2064,374
2065,370
2066,448
2067,373
2068,388
2069,399
2070,423
2071,390
2072,413
2073,459
2074,404
2075,414
2076,353
2077,375
2078,362
2079,349
2080,374
2081,391
2082,450
2083,400
2084,483
2085,390
2086,400
2087,378
2088,405
2089,363
2090,484
2091,422
2092,476
2093,419
2094,422
2095,418
2096,449
2097,475
2098,470
